Epoch,12,13,17,20,2,14,15,24,8,5,19,21,7,23
0,0514_183844 (g52),0514_204132,0514_212833 (g52),0515_081337 (g52),0514_185131 (g51),0514_213224 (g52),0514_214030 (g51),0514_133607,0516_201724 (g52),0514_183314 (g52),0514_213638,0514_190201 (g51),0514_214526,0515_071323 (g51)
19,1.63 tr acc = 26.44,1.15 tr acc = 16.67,0.56 tr acc = 15.40,1.32 tr acc = 17.02,1.26 tr acc = 20.11,2.44 tr acc = 17.09,2.18 tr acc = 15.62,4.94 tr acc = 6.67,0.12 tr acc = 0.67,5.19 tr acc = 4.89,3.71 tr acc = 5.12,4.62 tr acc = 5.93,8.28 tr acc = 7.47,5.35 tr acc = 5.33
39,1.47 tr acc = 55.11,0.80 tr acc = 27.01,0.56 tr acc = 26.02,0.94 tr acc = 24.21,0.80 tr acc = 34.14,4.00 tr acc = 24.51,2.95 tr acc = 31.67,6.38 tr acc = 11.67,6.79 tr acc = 11.44,7.60 tr acc = 8.89,8.70 tr acc = 11.48,7.46 tr acc = 9.88,10.46 tr acc = 9.54,7.81 tr acc = 8.00
59,2.09 tr acc = 72.44,2.30 tr acc = 39.08,0.42 tr acc = 37.33,1.13 tr acc = 30.74,1.72 tr acc = 50.80,4.19 tr acc = 33.75,3.33 tr acc = 36.04,7.03 tr acc = 14.72,6.31 tr acc = 14.00,7.29 tr acc = 13.11,8.61 tr acc = 11.01,7.37 tr acc = 8.70,12.3 tr acc = 13.1,6.58 tr acc = 6.83
79,2.17 tr acc = 86.22,0.57 tr acc = 39.66,0.84 tr acc = 36.16,1.13 tr acc = 44.79,1.03 tr acc = 67.01,7.99 tr acc = 52.66,5.38 tr acc = 51.35,7.83 tr acc = 16.94,11.07 tr acc = 19.22,6.43 tr acc = 7.11,11.78 tr acc = 14.31,9.72 tr acc = 13.04,12.64 tr acc = 11.84,11.67 tr acc = 14.5
99,1.63 tr acc = 94.89,0.23 tr acc = 46.55,0.98 tr acc = 46.78,0.19 tr acc = 31.57,1.61 tr acc = 58.39,6.82 tr acc = 60.36,6.15 tr acc = 43.54,7.97 tr acc = 15,8.45 tr acc = 18.44,11.40 tr acc = 13.33,12.77 tr acc = 16.51,11.83 tr acc = 15.61,15.4 tr acc = 15.86,10.88 tr acc = 13.33
119,2.02 tr acc = 98.44,0.34 tr acc = 47.93,3.08 tr acc = 63.84,1.51 tr acc = 73.64,1.61 tr acc = 56.09,8.77 tr acc = 73.25,11.41 tr acc = 74.06,8.84 tr acc = 18.89,17.86 tr acc = 33.78,10.78 tr acc = 22.00,12.05 tr acc = 23.43,14.59 tr acc = 22.33,23.79 tr acc = 25.4,15.00 tr acc = 20.17
139,2.17 tr acc = 90.89,1.49 tr acc = 58.62,4.90 tr acc = 60.04,8.11 tr acc = 95.79,1.84 tr acc = 96.90,16.67 tr acc = 80.53,14.62 tr acc = 83.33,9.35 tr acc = 19.44,17.98 tr acc = 28.44,13.02 tr acc = 20.89,17.30 tr acc = 25.00,15.40 tr acc = 20.36,23.22 tr acc = 21.49,16.84 tr acc = 16.83
159,2.56 tr acc = 99.78,0.46 tr acc = 68.97,4.20 tr acc = 91.42,3.02 tr acc = 76.86,5.06 tr acc = 98.16,20.86 tr acc = 87.54,22.82 tr acc = 96.15,9.86 tr acc = 23.06,25 tr acc = 41.11,15.66 tr acc = 27.56,19.57 tr acc = 29.40,14.67 tr acc = 17.19,37.24 tr acc = 38.39,3.68 tr acc = 5.17
179,1.78 tr acc = 99.33,0.11 tr acc = 88.05,12.46 tr acc = 98.34,18.68 tr acc = 99.75,6.67 tr acc = 97.01,21.44 tr acc = 84.45,26.79 tr acc = 92.08,9.35 tr acc = 16.67,50.48 tr acc = 72,12.95 tr acc = 22.67,21.74 tr acc = 34.75,17.18 tr acc = 25.89,80.11 tr acc = 85.17,15.18 tr acc = 17.67
199,2.64 tr acc = 99.78,0.00 tr acc = 86.44,16.39 tr acc = 99.61,18.11 tr acc = 96.2,9.89 tr acc = 99.77,30.21 tr acc = 94.82,40.00 tr acc = 98.33,7.90 tr acc = 12.78,76.31 tr acc = 90.89,14.96 tr acc = 24.44,16.67 tr acc = 27.99,16.94 tr acc = 26.88,92.53 tr acc = 97.24,24.74 tr acc = 33.83
219,2.87 tr acc = 99.56,0.11 tr acc = 96.55,19.33 tr acc = 99.81,27.55 tr acc = 100,13.79 tr acc = 100,37.82 tr acc = 97.20,43.85 tr acc = 98.44,12.54 tr acc = 17.22,86.43 tr acc = 96.22,10.31 tr acc = 27.33,36.96 tr acc = 59.12,21.31 tr acc = 33.99,97.13 tr acc = 99.89,24.56 tr acc = 27.83
239,2.48 tr acc = 100,0.92 tr acc = 97.24,29.83 tr acc = 99.71,34.15 tr acc = 100,15.52 tr acc = 100,39.28 tr acc = 98.04,50.77 tr acc = 96.56,13.19 tr acc = 27.22,84.64 tr acc = 94.56,17.98 tr acc = 69.78,63.32 tr acc = 85.69,24.47 tr acc = 37.35,96.67 tr acc = 99.31,40.53 tr acc = 47
259,2.02 tr acc = 99.78,0.23 tr acc = 97.59,12.46 tr acc = 96.98,32.64 tr acc = 100,8.51 tr acc = 85.29,42.11 tr acc = 97.62,53.85 tr acc = 99.79,14.49 tr acc = 28.33,94.05 tr acc = 99.56,20.23 tr acc = 86.22,79.44 tr acc = 97.33,19.12 tr acc = 30.04,96.67 tr acc = 99.89,67.46 tr acc = 77.33
279,1.63 tr acc = 100,1.38 tr acc = 99.43,22.69 tr acc = 99.90,39.06 tr acc = 100,21.84 tr acc = 99.66,46.49 tr acc = 99.58,53.97 tr acc = 99.58,13.26 tr acc = 28.33,96.67 tr acc = 99.67,17.05 tr acc = 88.89,86.23 tr acc = 98.43,29.58 tr acc = 54.55,95.75 tr acc = 98.39,59.30 tr acc = 65
299,1.40 tr acc = 100,1.49 tr acc = 99.66,28.43 tr acc = 100,36.79 tr acc = 100,24.25 tr acc = 100,48.44 tr acc = 99.72,54.62 tr acc = 99.48,15.58 tr acc = 26.94,97.02 tr acc = 100,16.82 tr acc = 98.00,85.60 tr acc = 98.74,39.22 tr acc = 63.24,97.01 tr acc = 100,89.30 tr acc = 93.5
319,1.32 tr acc = 100,2.07 tr acc = 77.13,18.07 tr acc = 96,28.68 tr acc = 99.67,23.56 tr acc = 99.89,49.90 tr acc = 100,57.31 tr acc = 99.79,20.22 tr acc = 39.72,76.55 tr acc = 85.78,23.26 tr acc = 99.56,86.96 tr acc = 100,61.02 tr acc = 89.53,98.28 tr acc = 99.77,90.70 tr acc = 95.17
339,0.62 tr acc = 100,0.92 tr acc = 100,29.55 tr acc = 99.90,27.74 tr acc = 100,26.90 tr acc = 100,50.00 tr acc = 100,56.92 tr acc = 99.9,16.16 tr acc = 35.28,96.90 tr acc = 99.78,24.96 tr acc = 100,89.04 tr acc = 100,73.82 tr acc = 98.02,98.39 tr acc = 100,97.02 tr acc = 99.83
359,0.93 tr acc = 100,0.46 tr acc = 100,33.33 tr acc = 100,33.02 tr acc = 100,27.93 tr acc = 100,48.83 tr acc = 99.72,54.87 tr acc = 100,23.62 tr acc = 43.33,97.14 tr acc = 99.89,26.74 tr acc = 100,91.58 tr acc = 100,76.90 tr acc = 99.01,98.85 tr acc = 99.89,98.77 tr acc = 100
379,1.01 tr acc = 100,3.22 tr acc = 100,38.94 tr acc = 100,24.91 tr acc = 99.26,24.71 tr acc = 100,51.85 tr acc = 100,56.03 tr acc = 100,39.57 tr acc = 55.56,97.98 tr acc = 100,24.65 tr acc = 100,83.70 tr acc = 93.87,81.04 tr acc = 99.60,98.16 tr acc = 100,98.16 tr acc = 100
399,0.08 tr acc = 100,2.64 tr acc = 100,39.78 tr acc = 100,30.75 tr acc = 100,24.25 tr acc = 100,53.31 tr acc = 99.72,56.28 tr acc = 100,45.22 tr acc = 62.5,97.5 tr acc = 99.89,13.02 tr acc = 96.67,94.02 tr acc = 99.53,83.79 tr acc = 99.80,88.85 tr acc = 95.40,98.33 tr acc = 99.5
419,0.70 tr acc = 100,11.95 tr acc = 97.59,40.20 tr acc = 100,33.40 tr acc = 100,26.55 tr acc = 100,52.05 tr acc = 100,54.23 tr acc = 100,31.30 tr acc = 46.11,98.45 tr acc = 99.89,15.43 tr acc = 99.56,95.11 tr acc = 100,76.09 tr acc = 97.83,97.01 tr acc = 99.20,98.86 tr acc = 100
439,0.54 tr acc = 100,15.75 tr acc = 99.31,42.02 tr acc = 100,36.04 tr acc = 100,21.03 tr acc = 97.47,52.24 tr acc = 100,56.15 tr acc = 100,62.61 tr acc = 80.00,98.21 tr acc = 100,20.78 tr acc = 100,95.65 tr acc = 100,88.09 tr acc = 100,97.59 tr acc = 100,94.21 tr acc = 96.17
459,2.64 tr acc = 100,5.52 tr acc = 99.66,45.66 tr acc = 100,39.43 tr acc = 100,27.93 tr acc = 100,52.14 tr acc = 96.78,55.13 tr acc = 100,80.58 tr acc = 91.11,98.81 tr acc = 100,15.66 tr acc = 100,93.93 tr acc = 100,89.14 tr acc = 100,97.47 tr acc = 99.66,98.77 tr acc = 99.83
479,1.24 tr acc = 100,10.57 tr acc = 100,43.56 tr acc = 100,41.89 tr acc = 100,31.26 tr acc = 100,59.65 tr acc = 99.58,57.44 tr acc = 99.38,87.90 tr acc = 96.39,99.40 tr acc = 100,18.91 tr acc = 99.78,94.93 tr acc = 99.84,90.76 tr acc = 100,97.82 tr acc = 99.89,99.04 tr acc = 99.83
499,1.71 tr acc = 99.78,4.25 tr acc = 100,44.68 tr acc = 100,44.53 tr acc = 100,30.92 tr acc = 100,60.14 tr acc = 99.86,58.33 tr acc = 100,88.12 tr acc = 94.17,99.40 tr acc = 100,19.61 tr acc = 100,91.67 tr acc = 100,92.06 tr acc = 100,97.7 tr acc = 99.77,98.86 tr acc = 99.67
519,0.70 tr acc = 100,3.45 tr acc = 99.77,43.84 tr acc = 100,45.47 tr acc = 100,30.92 tr acc = 100,61.40 tr acc = 100,59.87 tr acc = 100,80.58 tr acc = 88.89,99.40 tr acc = 99.89,22.44 tr acc = 100,95.11 tr acc = 100,92.38 tr acc = 99.80,97.01 tr acc = 100,99.30 tr acc = 100
539,0.54 tr acc = 100,11.15 tr acc = 100,45.24 tr acc = 100,45.28 tr acc = 100,29.89 tr acc = 100,59.36 tr acc = 100,47.44 tr acc = 96.35,93.04 tr acc = 99.17,98.93 tr acc = 99.89,22.33 tr acc = 100,91.85 tr acc = 98.27,94.08 tr acc = 100,98.62 tr acc = 100,99.30 tr acc = 100
559,0.54 tr acc = 100,2.99 tr acc = 99.89,44.26 tr acc = 100,45.47 tr acc = 100,31.26 tr acc = 100,59.84 tr acc = 100,60.77 tr acc = 100,94.64 tr acc = 99.72,99.64 tr acc = 100,22.09 tr acc = 100,95.29 tr acc = 100,90.76 tr acc = 100,98.39 tr acc = 100,99.12 tr acc = 100
579,0.39 tr acc = 100,4.25 tr acc = 100,44.54 tr acc = 100,45.28 tr acc = 100,32.18 tr acc = 100,58.48 tr acc = 100,61.54 tr acc = 100,96.01 tr acc = 99.58,99.88 tr acc = 100,23.33 tr acc = 100,94.11 tr acc = 100,92.06 tr acc = 100,97.24 tr acc = 99.08,98.68 tr acc = 100
599,0.62 tr acc = 100,8.62 tr acc = 100,44.82 tr acc = 100,44.72 tr acc = 100,31.49 tr acc = 100,58.19 tr acc = 100,60.77 tr acc = 100,95.58 tr acc = 99.44,99.76 tr acc = 100,23.57 tr acc = 100,95.11 tr acc = 100,92.30 tr acc = 100,98.97 tr acc = 99.77,97.02 tr acc = 99.17
