Epoch,"0215_224805
num_objs=90","0313_013404
num_objs=90
[no image_pos_enc]","
num_objs=20","0224_090709
num_objs=30","0312_025342
num_objs=30
[no image_pos_enc]","0214_145856
num_objs=40","0224_094522
num_objs=50","0214_145737
num_objs=60","0224_145323
num_objs=70","0224_081546
num_objs=80"
19,22.95 tr acc = 98.64,,,0.57 tr acc = 4.94,0.69 tr acc = 4.25,1.47 tr acc = 7.95,0.04 tr acc = 4.82,0.73 tr acc = 15.37,0.75 tr acc = 33.87,7.56 tr acc = 81.88
39,49.21 tr acc = 98.53,,,0.57 tr acc = 15.52,0.92 tr acc = 14.48,0.06 tr acc = 23.08,0.04 tr acc = 34.41,12.99 tr acc = 96.3,28.53 tr acc = 96.87,14.7 tr acc = 76.42
59,58.54 tr acc = 99.9,,,0.34 tr acc = 24.94,1.38 tr acc = 27.59,2.18 tr acc = 57.44,3.43 tr acc = 78.78,30.76 tr acc = 99.83,46.67 tr acc = 97.12,60.43 tr acc = 100
79,69.71 tr acc = 100,,,0.46 tr acc = 46.55,0.11 tr acc = 33.22,0.26 tr acc = 97.95,10.24 tr acc = 99.59,46.13 tr acc = 99.97,63 tr acc = 99.96,66.77 tr acc = 100
99,68.13 tr acc = 99.99,,,0.11 tr acc = 61.84,0.57 tr acc = 41.26,2.76 tr acc = 92.69,4.65 tr acc = 74.9,45.45 tr acc = 99.72,74.1 tr acc = 100,68.62 tr acc = 100
119,72.76 tr acc = 100,,,0.34 tr acc = 66.32,0.46 tr acc = 60.23,4.62 tr acc = 93.78,16.73 tr acc = 98.69,63.9 tr acc = 100,76.5 tr acc = 100,65.24 tr acc = 100
139,72.49 tr acc = 100,,,0.34 tr acc = 81.26,0.69 tr acc = 76.32,7.69 tr acc = 99.87,25.59 tr acc = 100,70.31 tr acc = 100,77.18 tr acc = 100,66.9 tr acc = 100
159,74.18 tr acc = 100,,,0.34 tr acc = 95.63,0.23 tr acc = 70.23,10.96 tr acc = 100,42.82 tr acc = 100,61.55 tr acc = 100,80.35 tr acc = 100,69.87 tr acc = 100
179,74.67 tr acc = 100,,,0.11 tr acc = 51.26,0 tr acc = 97.13,14.68 tr acc = 100,41.88 tr acc = 100,69.44 tr acc = 100,69.77 tr acc = 99.71,70.24 tr acc = 100
199,74.34 tr acc = 100,82.15 tr acc = 100,,0.34 tr acc = 99.77,0.46 tr acc = 92.18,13.97 tr acc = 100,15.96 tr acc = 99.92,74.27 tr acc = 100,79.13 tr acc = 100,67.5 tr acc = 99.97
219,,,,1.72 tr acc = 97.13,0.11 tr acc = 99.31,18.91 tr acc = 100,27.92 tr acc = 100,71.05 tr acc = 100,80.87 tr acc = 100,
239,,,,1.15 tr acc = 100,0.23 tr acc = 98.16,20.06 tr acc = 100,34.69 tr acc = 100,67.66 tr acc = 99.92,80.7 tr acc = 100,
259,,,,1.38 tr acc = 100,1.49 tr acc = 94.25,26.67 tr acc = 100,43.59 tr acc = 100,67.57 tr acc = 100,61.55 tr acc = 100,
279,,,,0.23 tr acc = 96.55,0.34 tr acc = 95.17,19.42 tr acc = 100,44.37 tr acc = 100,74.44 tr acc = 100,75.96 tr acc = 100,
299,,,,0.57 tr acc = 99.89,0.34 tr acc = 93.79,21.47 tr acc = 100,53.51 tr acc = 100,74.12 tr acc = 100,80.39 tr acc = 100,
319,,,,0.23 tr acc = 100,1.03 tr acc = 99.77,28.91 tr acc = 100,42.29 tr acc = 99.31,,,
339,,,,1.03 tr acc = 100,1.03 tr acc = 99.89,5.71 tr acc = 99.55,54.16 tr acc = 100,,,
359,,,,2.64 tr acc = 100,0.11 tr acc = 92.41,11.22 tr acc = 100,56.82 tr acc = 100,,,
379,,,,5.17 tr acc = 100,0.23 tr acc = 98.74,19.87 tr acc = 100,59.8 tr acc = 100,,,
399,,,,1.84 tr acc = 100,1.15 tr acc = 100,27.76 tr acc = 100,58.98 tr acc = 100,,,
419,,,,0.57 tr acc = 100,1.95 tr acc = 99.89,29.36 tr acc = 100,,,,
439,,,,0.34 tr acc = 93.45,2.07 tr acc = 96.78,33.72 tr acc = 100,,,,
459,,,,4.02 tr acc = 100,0.11 tr acc = 99.2,39.04 tr acc = 100,,,,
479,,,,9.43 tr acc = 99.43,0.23 tr acc = 100,43.46 tr acc = 100,,,,
499,,,,7.13 tr acc = 100,0.23 tr acc = 100,36.92 tr acc = 100,,,,
519,,,,8.85 tr acc = 100,0.57 tr acc = 100,11.86 tr acc = 100,,,,
539,,,,11.26 tr acc = 100,0.57 tr acc = 37.82,21.99 tr acc = 100,,,,
559,,,,12.07 tr acc = 100,0 tr acc = 99.43,27.18 tr acc = 100,,,,
579,,,,13.1 tr acc = 100,0.57 tr acc = 99.77,26.03 tr acc = 100,,,,
599,,,,3.68 tr acc = 100,0.34 tr acc = 100,36.92 tr acc = 100,,,,
