Epoch,"0216_092209
num_objs=90","
num_objs=20","0215_225014
num_objs=30","0218_223104
num_objs=40","0216_230243
num_objs=50","0219_134512
num_objs=60","0220_210900
num_objs=70","0220_001206
num_objs=80"
19,52 tr acc = 92.67,,1.46 tr acc = 7.14,0.97 tr acc = 6.69,1.59 tr acc = 15.75,1.6 tr acc = 10.94,6.31 tr acc = 35.9,25.18 tr acc = 71.5
39,88.6 tr acc = 99.97,,1.36 tr acc = 21.99,2.9 tr acc = 30.15,14.74 tr acc = 66.38,38.25 tr acc = 90.39,60.93 tr acc = 97.81,77.72 tr acc = 99.86
59,92.99 tr acc = 100,,3.7 tr acc = 32.77,7.27 tr acc = 58.9,42.6 tr acc = 92.88,65.71 tr acc = 98.83,70.63 tr acc = 99.98,88.85 tr acc = 99.91
79,95.77 tr acc = 100,,3.41 tr acc = 42.3,20.4 tr acc = 83.6,61.07 tr acc = 99.66,72.11 tr acc = 100,72.95 tr acc = 99.49,92.04 tr acc = 100
99,95.55 tr acc = 100,,8.67 tr acc = 68.07,22.78 tr acc = 77.21,69.11 tr acc = 99.56,78.57 tr acc = 99.87,48.05 tr acc = 82.01,93.22 tr acc = 99.98
119,90.91 tr acc = 98.16,,14.33 tr acc = 75.49,48.75 tr acc = 99.26,71.23 tr acc = 100,80.78 tr acc = 100,84.19 tr acc = 100,93.83 tr acc = 100
139,97 tr acc = 100,,19.3 tr acc = 76.75,51.25 tr acc = 99.71,70.73 tr acc = 100,82.81 tr acc = 100,83.97 tr acc = 100,95.18 tr acc = 100
159,97.35 tr acc = 99.84,,32.26 tr acc = 92.58,52.9 tr acc = 98.68,73.87 tr acc = 100,83.58 tr acc = 100,86.04 tr acc = 99.95,95.11 tr acc = 100
179,98.41 tr acc = 100,,25.96 tr acc = 97.62,59.89 tr acc = 99.71,32.48 tr acc = 74.52,46.19 tr acc = 74.24,90.43 tr acc = 100,93.74 tr acc = 99.98
199,98.25 tr acc = 100,,42.69 tr acc = 98.88,63.35 tr acc = 99.04,78.1 tr acc = 100,86.84 tr acc = 100,78.74 tr acc = 96.21,95.48 tr acc = 100
219,,,44.25 tr acc = 99.72,65.51 tr acc = 99.93,76.8 tr acc = 99.95,80.28 tr acc = 98.58,,
239,,,39.08 tr acc = 92.86,68.64 tr acc = 100,79.09 tr acc = 100,85.41 tr acc = 99.29,,
259,,,45.91 tr acc = 96.78,68.58 tr acc = 100,79.76 tr acc = 100,91.5 tr acc = 100,,
279,,,52.73 tr acc = 100,68.75 tr acc = 100,79.72 tr acc = 100,91.5 tr acc = 100,,
299,,,52.53 tr acc = 98.32,66.36 tr acc = 100,82.4 tr acc = 100,90.38 tr acc = 100,,
319,,,55.17 tr acc = 99.86,67.73 tr acc = 100,,,,
339,,,57.21 tr acc = 100,75.74 tr acc = 99.63,,,,
359,,,56.92 tr acc = 99.72,77.95 tr acc = 100,,,,
379,,,53.7 tr acc = 97.62,76.25 tr acc = 100,,,,
399,,,57.5 tr acc = 99.86,76.88 tr acc = 100,,,,
419,,,57.02 tr acc = 97.62,75.34 tr acc = 99.04,,,,
439,,,61.6 tr acc = 100,77.56 tr acc = 100,,,,
459,,,62.67 tr acc = 100,78.75 tr acc = 100,,,,
479,,,62.57 tr acc = 100,80.11 tr acc = 100,,,,
499,,,63.74 tr acc = 100,71.14 tr acc = 98.97,,,,
519,,,63.94 tr acc = 99.44,76.36 tr acc = 100,,,,
539,,,64.13 tr acc = 100,76.82 tr acc = 100,,,,
559,,,66.28 tr acc = 100,76.65 tr acc = 100,,,,
579,,,66.18 tr acc = 100,76.7 tr acc = 100,,,,
599,,,66.76 tr acc = 100,77.27 tr acc = 100,,,,
