Epoch,"0220_001333
num_objs=90","
num_objs=20","0215_133307
num_objs=30","0311_215732
num_objs=30
[no image_pos_enc]","0220_211656
num_objs=40","0221_153321
num_objs=50","0221_203644 (u)
num_objs=60","0221_204006 (u)
num_objs=70","0221_132810
num_objs=80"
19,10 tr acc = 12.41,,2.17 tr acc = 1.73,1.18 tr acc = 0.47,2.67 tr acc = 3.26,2.79 tr acc = 2.87,1.46 tr acc = 2.1,4.03 tr acc = 5.29,3.6 tr acc = 4.96
39,95.62 tr acc = 99.81,,4.62 tr acc = 5.5,1.54 tr acc = 2.99,3.63 tr acc = 3.26,4.78 tr acc = 5.34,6.72 tr acc = 8.22,34.27 tr acc = 40.77,81.47 tr acc = 89.29
59,87.38 tr acc = 92.39,,5.62 tr acc = 6.92,5.43 tr acc = 8.18,3.07 tr acc = 4.93,7.15 tr acc = 9.16,48.32 tr acc = 59.77,95.78 tr acc = 99.69,91.25 tr acc = 96.77
79,97.81 tr acc = 100,,5.34 tr acc = 10.53,6.07 tr acc = 8.02,9.48 tr acc = 14.17,42.69 tr acc = 54.61,89.16 tr acc = 98.29,95.8 tr acc = 99.71,97.04 tr acc = 100
99,98.15 tr acc = 100,,7.43 tr acc = 8.18,6.79 tr acc = 9.91,15.02 tr acc = 24.82,85.83 tr acc = 96.4,96.28 tr acc = 99.92,98.12 tr acc = 100,98.45 tr acc = 99.98
119,97.58 tr acc = 100,,9.06 tr acc = 18.08,6.43 tr acc = 14.31,34.58 tr acc = 66.11,92.28 tr acc = 99.61,93.28 tr acc = 95.6,98.1 tr acc = 100,96.22 tr acc = 99.21
139,67.9 tr acc = 78.38,,8.42 tr acc = 19.03,5.98 tr acc = 13.68,62.85 tr acc = 96.48,95.61 tr acc = 100,96.85 tr acc = 100,98.1 tr acc = 100,98.12 tr acc = 100
159,97.86 tr acc = 100,,9.96 tr acc = 25.31,6.61 tr acc = 13.99,58.62 tr acc = 90.76,94.01 tr acc = 99.49,96.5 tr acc = 99.92,97.29 tr acc = 99.91,18.38 tr acc = 20.59
179,97.32 tr acc = 100,,30.07 tr acc = 73.11,8.51 tr acc = 18.4,86.39 tr acc = 100,96.54 tr acc = 100,96.79 tr acc = 100,99.04 tr acc = 100,98.34 tr acc = 100
199,97.96 tr acc = 100,,18.66 tr acc = 55.5,4.44 tr acc = 13.36,88.41 tr acc = 99.47,97.34 tr acc = 100,97.38 tr acc = 100,72.19 tr acc = 80.74,98.26 tr acc = 100
219,,,27.17 tr acc = 62.89,11.96 tr acc = 29.25,44 tr acc = 67.96,97.05 tr acc = 100,,,
239,,,51.63 tr acc = 98.11,10.33 tr acc = 28.14,91.58 tr acc = 100,97.4 tr acc = 100,,,
259,,,65.13 tr acc = 99.84,7.88 tr acc = 12.11,93.9 tr acc = 100,96.92 tr acc = 100,,,
279,,,65.31 tr acc = 99.53,8.51 tr acc = 34.12,94.76 tr acc = 100,97.5 tr acc = 100,,,
299,,,60.05 tr acc = 98.74,19.66 tr acc = 89.15,93.45 tr acc = 100,97.72 tr acc = 100,,,
319,,,73.73 tr acc = 100,25.63 tr acc = 90.09,94.66 tr acc = 100,,,,
339,,,75.18 tr acc = 100,34.78 tr acc = 99.84,94.76 tr acc = 100,,,,
359,,,74.18 tr acc = 100,23.55 tr acc = 91.19,95.31 tr acc = 100,,,,
379,,,81.88 tr acc = 99.84,26.81 tr acc = 94.65,95.67 tr acc = 100,,,,
399,,,76.9 tr acc = 99.69,35.05 tr acc = 99.84,95.11 tr acc = 100,,,,
419,,,36.14 tr acc = 70.91,36.5 tr acc = 99.84,95.92 tr acc = 100,,,,
439,,,90.98 tr acc = 100,26.18 tr acc = 97.64,95.11 tr acc = 100,,,,
459,,,83.97 tr acc = 100,34.6 tr acc = 99.69,95.67 tr acc = 100,,,,
479,,,87.32 tr acc = 100,36.23 tr acc = 100,95.51 tr acc = 100,,,,
499,,,89.31 tr acc = 100,32.25 tr acc = 100,96.12 tr acc = 100,,,,
519,,,89.86 tr acc = 100,31.7 tr acc = 100,95.67 tr acc = 100,,,,
539,,,88.32 tr acc = 100,36.32 tr acc = 100,96.32 tr acc = 100,,,,
559,,,92.39 tr acc = 100,29.62 tr acc = 100,96.72 tr acc = 100,,,,
579,,,92.66 tr acc = 100,29.8 tr acc = 100,96.67 tr acc = 100,,,,
599,,,95.02 tr acc = 100,41.31 tr acc = 100,95.82 tr acc = 100,,,,
