Epoch,"0223_141954
num_objs=90","
num_objs=20","0216_143000
num_objs=30","0312_021028, 0312_080308
num_objs=30
[no image_pos_enc]","0313_085925
num_objs=30
[clip]","0223_083753
num_objs=40","0223_230620 (u)
num_objs=50","0223_142328 (u)
0224_144924 (u)
num_objs=60","0223_230531
num_objs=70","0223_134747 (u)
num_objs=80"
19,8.51 tr acc = 8.93,,2.11 tr acc = 3,1.05 tr acc = 2.33,0 tr acc = 0.17,2.5 tr acc = 2.6,1.88 tr acc = 2.31,3.25 tr acc = 3.87,3.2 tr acc = 3.48,3.37 tr acc = 3.7
39,96.18 tr acc = 96.43,,2.81 tr acc = 6,2.28 tr acc = 3.67,0.09 tr acc = 0.17,3.8 tr acc = 4.71,4.42 tr acc = 5.44,7.71 tr acc = 8.29,29.5 tr acc = 30.9,87.44 tr acc = 87
59,99.91 tr acc = 99.98,,2.81 tr acc = 5.17,3.95 tr acc = 8,0.09 tr acc = 0,6.25 tr acc = 8.46,6.91 tr acc = 9.25,69.57 tr acc = 71.83,97.64 tr acc = 98.11,99.49 tr acc = 99.78
79,99.87 tr acc = 100,,6.58 tr acc = 6.67,5.61 tr acc = 6.83,0.35 tr acc = 0.33,5.87 tr acc = 9.04,20.18 tr acc = 23,98.5 tr acc = 98.96,99.53 tr acc = 99.53,93.76 tr acc = 93.87
99,95.17 tr acc = 94.89,,10.09 tr acc = 16,4.82 tr acc = 5.17,0.26 tr acc = 0,14.28 tr acc = 17.12,90.79 tr acc = 93.56,99.15 tr acc = 99.75,99.86 tr acc = 100,99.95 tr acc = 100
119,99.96 tr acc = 100,,9.82 tr acc = 16.17,8.6 tr acc = 7.83,0.44 tr acc = 0.67,18.17 tr acc = 20.77,98.21 tr acc = 98.62,99.81  tr acc = 100,77.34 tr acc = 77.55,99.92 tr acc = 100
139,99.95 tr acc = 100,,11.58 tr acc = 14.83,11.84 tr acc = 11.33,0.88 tr acc = 1.17,55.58 tr acc = 61.44,99.33 tr acc = 99.81,99.74 tr acc = 100,99.86 tr acc = 100,99.62 tr acc = 99.69
159,99.8 tr acc = 99.98,,20.26 tr acc = 25,11.67 tr acc = 12.33,2.02 tr acc = 2,95.58 tr acc = 97.31,99.82 tr acc = 100,99.91 tr acc = 100,99.92 tr acc = 100,99.95 tr acc = 100
179,99.94 tr acc = 100,,32.28 tr acc = 37.5,14.04 tr acc = 13.83,2.46 tr acc = 3.33,93.08 tr acc = 96.44,99.73 tr acc = 100,99.96 tr acc = 100,99.83 tr acc = 100,99.94 tr acc = 100
199,99.97 tr acc = 100,,21.84 tr acc = 26.83,12.98 tr acc = 16.5,5 tr acc = 8,98.56 tr acc = 99.81,99.82 tr acc = 99.88,1.77 tr acc = 1.71,99.97 tr acc = 100,99.98 tr acc = 100
219,,,78.16 tr acc = 88.5,12.63 tr acc = 12.17,8.07 tr acc = 7.83,99.23 tr acc = 100,99.82 tr acc = 100,99.89 tr acc = 100,,
239,,,93.77 tr acc = 96.5,17.37 tr acc = 17.5,9.04 tr acc = 10.83,99.33 tr acc = 100,99.91 tr acc = 100,99.94 tr acc = 100,,
259,,,98.42 tr acc = 100,18.42 tr acc = 18.67,10 tr acc = 14,95.53 tr acc = 96.54,99.85 tr acc = 99.94,99.96 tr acc = 100,,
279,,,97.89 tr acc = 99.83,20.7 tr acc = 25.67,35.09 tr acc = 42.67,99.57 tr acc = 99.9,99.91 tr acc = 100,99.96 tr acc = 100,,
299,,,99.12 tr acc = 100,12.37 tr acc = 13.67,69.3 tr acc = 80.33,99.52 tr acc = 100,99.76 tr acc = 99.88,99.98 tr acc = 100,,
319,,,98.51 tr acc = 100,17.02 tr acc = 19.33,80.26 tr acc = 88,,,,,
339,,,99.21 tr acc = 100,20.35 tr acc = 27.67,94.47 tr acc = 97.83,,,,,
359,,,98.6 tr acc = 99.83,16.32 tr acc = 20,90.35 tr acc = 95.67,,,,,
379,,,97.19 tr acc = 99.17,10.53 tr acc = 14,92.11 tr acc = 96.83,,,,,
399,,,99.12 tr acc = 100,22.02 tr acc = 21.67,97.81 tr acc = 99.67,,,,,
419,,,,30.35 tr acc = 36.33,98.42 tr acc = 99.67,,,,,
439,,,,29.12 tr acc = 28,98.25 tr acc = 100,,,,,
459,,,,25.7 tr acc = 23,98.68 tr acc = 99.83,,,,,
479,,,,35 tr acc = 39,99.12 tr acc = 100,,,,,
499,,,,30.35 tr acc = 29.33,99.12 tr acc = 100,,,,,
519,,,,46.93 tr acc = 48.5,99.65 tr acc = 100,,,,,
539,,,,53.86 tr acc = 52.5,99.12 tr acc = 100,,,,,
559,,,,83.51 tr acc = 86.83,99.74 tr acc = 100,,,,,
579,,,,88.42 tr acc = 92,99.65 tr acc = 100,,,,,
599,,,,81.84 tr acc = 83.83,99.12 tr acc = 100,,,,,
