Epoch,"1213_174529
num_objs=90","1217_211800 trainable_parameters = [""attentions"", ""encoder_hid_proj""] (self_attn + cross_attn)","1218_155123 only_cross_attn=True (CA+CA) trainable_parameters = [""attentions"", ""encoder_hid_proj""] 
(cross_attn + cross_attn)",1214_123648 num_objs=30,"1218_161059 num_objs=30 trainable_parameters = [""attentions"", ""encoder_hid_proj""] (self_attn + cross_attn)",1214_165951 num_objs=60,"1218_093718 
num_objs=60 
trainable_parameters = [""attentions"", ""encoder_hid_proj""] 
(self_attn + cross_attn)","0203_173206
num_objs=20","0203_220547
num_objs=40","0203_220446
num_objs=50","0203_220305
num_objs=70","0203_220223
num_objs=80"
19,89.73 tr acc = 89.94,88.90 tr acc = 89.30,7.75 tr acc = 8.74,2.53 tr acc = 4.25,,4.04 tr acc = 4.38,"3.84 tr acc = 4.52
single_obj acc (60-90) = 43.33",,2.5 tr acc = 3.01,1.06 tr acc = 1.51,7.97 tr acc = 9.03,16.67 tr acc = 17.26
39,99.93 tr acc = 100,99.99 tr acc = 99.98,92.38 tr acc = 91.90,4.94 tr acc = 7.93,,57.82 tr acc = 64.41,"73.59 tr acc = 77.09
single_obj acc (60-90) = 12.67",,4.29 tr acc = 6.73,8.73 tr acc = 12.12,98.41 tr acc = 98.80,99.46 tr acc = 99.60
59,99.69 tr acc = 99.81,,,6.21 tr acc = 14.94,,97.12 tr acc = 97.15,"99.18 tr acc = 99.66
single_obj acc (60-90) = 11.33",,4.49 tr acc = 12.12,82.61 tr acc = 86.94,98.7 tr acc = 98.76,99.86 tr acc = 99.98
79,99.59 tr acc = 99.65,,,6.78 tr acc = 20.80,,99.77 tr acc = 99.90,"99.97 tr acc = 99.97
single_obj acc (60-90) = 12",,9.36 tr acc = 33.33,94.94 tr acc = 96.37 ,99.4 tr acc = 99.59,99.97 tr acc = 100
99,99.93 tr acc = 100,,,6.67 tr acc = 22.87,,99.86 tr acc = 100,single_obj acc (60-90) = 9.33,,66.03 tr acc = 90.51,99.55 tr acc = 99.67,99.98 tr acc = 100,99.98 tr acc = 100
119,99.95 tr acc = 99.99,,99.94 tr acc = 99.90,9.54 tr acc = 43.56,8.74,99.94 tr acc = 100,"99.97 tr acc = 100
single_obj acc (60-90) = 7.33",,85.51 tr acc = 94.10,99.96 tr acc = 100,99.98 tr acc = 100,99.97 tr acc = 100
139,99.85 tr acc = 99.97,,,14.25 tr acc = 60.11,10.11,99.97 tr acc = 100,single_obj acc (60-90) = 4.67,,68.65 tr acc = 75.96,99.96 tr acc = 100,99.81 tr acc = 100,99.98 tr acc = 100
159,99.96 tr acc = 99.99,,,24.37 tr acc = 69.43,36.55,99.97 tr acc = 100,"single_obj acc (0-60) = 100 
single_obj acc (60-90) = 5.33",,98.97 tr acc = 100,99.92 tr acc = 99.96,99.96 tr acc = 100,99.98 tr acc = 100
179,99.94 tr acc = 99.98,,,38.16 tr acc = 75.75,62.3,99.92 tr acc = 100,,,98.59 tr acc = 99.55,99.71 tr acc = 99.84,99.94 tr acc = 100,99.98 tr acc = 100
199,99.99 tr acc = 100,,,65.29 tr acc = 90.69,89.31,100 tr acc = 100,"99.97 tr acc = 100
single_obj acc (0-60) = 100 
",,99.55 tr acc = 100,99.92 tr acc = 99.96,99.98 tr acc = 100,99.98 tr acc = 100
219,,,,93.45 tr acc = 99.77,96.21,99.86 tr acc = 100,,,99.81 tr acc = 100,,,
239,,,,96.44 tr acc = 100,97.13,99.94 tr acc = 100,,,99.87 tr acc = 100,,,
259,,,,97.47 tr acc = 100,96.32,99.92 tr acc = 100,,,99.87 tr acc = 100,,,
279,,,,98.51 tr acc = 100,,99.92 tr acc = 100,,,99.87 tr acc = 99.74,,,
299,,,,95.63 tr acc = 98.74,98.97,100 tr acc = 100,,,99.62 tr acc = 99.94,,,
319,,,,,,,,,,,,
339,,,,,,,,,,,,
359,,,,,,,,,,,,
379,,,,,,,,,,,,
399,,,,,,,,1.05 tr acc = 87.11,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
499,,,,,,,,3.16 tr acc = 86.32,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
599,,,,,,,,4.84 tr acc = 77.63,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
699,,,,,,,,41.32 tr acc = 100,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
799,,,,,,,,50.53 tr acc = 100,,,,
