Epoch,"0130_223800
num_objs=30","0312_025041
num_objs=30
[no image_pos_enc]","0313_085834
num_objs=30
[clip]","0208_074218
num_objs=40","0207_231910
num_objs=50","0130_223508
num_objs=60","0206_212245
num_objs=70","0206_205651
num_objs=80","0130_223059
num_objs=90","0203_154735
num_objs=20","0229_161430
num_objs=18"
19,1.43 tr acc = 3.22,0.6 tr acc = 1.78,0 tr acc = 0.11,2.17 tr acc = 5.06,1.71 tr acc = 4.56,2.16 tr acc = 4.25,3.8 tr acc = 7.1,6.7 tr acc = 13.56,60.56 tr acc = 82.69,,
39,2.26  tr acc = 7.11,1.9 tr acc = 5.11,0 tr acc = 0,3.75 tr acc = 6.19,2.21 tr acc = 5.36,43.25 tr acc = 64.81,60.99 tr acc = 71.61,89.92 tr acc = 98.02,90.69 tr acc = 96.72,,
59,1.67 tr acc = 11.22,2.14 tr acc = 8.33,0.12 tr acc = 0.22,4.41 tr acc = 13.38,36.29 tr acc = 56.8,91.21 tr acc = 99.5,93.32 tr acc = 99.31,99.9 tr acc = 99.97,99.89 tr acc = 100,,
79,4.52 tr acc = 12.11,3.21 tr acc = 12.67,0.12 tr acc = 0.67,12.89 tr acc = 27.37,90.83 tr acc = 97.28,98.30 tr acc = 99.97,99.64 tr acc = 99.96,96.91 tr acc = 98.44,99.9 tr acc = 100,,
99,4.52 tr acc = 18,3.69 tr acc = 10.22,0.48 tr acc = 1.44,51.97 tr acc = 85.81,97.08 tr acc = 99.64,99.68 tr acc = 99.97,99.18 tr acc = 99.94,76.47 tr acc = 86.61,99.91 tr acc = 100,,2.78 tr acc = 12.35
119,11.67 tr acc = 26.67,2.86 tr acc = 13.22,0 tr acc = 3.56,92.17 tr acc = 99.38,99.33 tr acc = 99.96,86.32 tr acc = 95.47,98.28 tr acc = 99.59,99.87 tr acc = 100,99.94 tr acc = 100,,
139,12.86 tr acc = 41.11,5.24 tr acc = 17.44,0.71 tr acc = 5.56,95.39 tr acc = 99.38,99.12 tr acc = 99.92,99.71 tr acc = 100,99.89 tr acc = 100,99.95 tr acc = 100,99.41 tr acc = 100,,
159,46.67 tr acc = 82,11.07 tr acc = 24.33,2.02 tr acc = 9.33,96.38 tr acc = 99.81,99.71 tr acc = 100,99.71 tr acc = 99.97,99.96 tr acc = 100,99.89 tr acc = 100,99.94 tr acc = 100,,
179,28.33 tr acc = 69.33,7.98 tr acc = 22.56,3.45 tr acc = 11.44,98.03 tr acc = 100,99.33 tr acc = 99.96,90.98 tr acc = 97.22,100 tr acc = 100,99.82 tr acc = 99.97,99.97 tr acc = 100,,
199,88.1 tr acc = 96.67,9.17 tr acc = 26.67,8.81 tr acc = 21.89,71.84 tr acc = 88,99.83 tr acc = 100,99.77 tr acc = 100,99.79 tr acc = 99.96,100 tr acc = 100,99.96 tr acc = 100,3.33 tr acc = 23.75,6.6 tr acc = 16.05
219,95 tr acc = 99.78,9.29 tr acc = 25.22,8.21 tr acc = 29.44,99.67 tr acc = 100,99.75 tr acc = 100,99.74 tr acc = 100,99.93 tr acc = 100,,,,
239,98.45 tr acc = 100,5.48 tr acc = 18.67,50.6 tr acc = 85,91.71 tr acc = 99.25,99.83 tr acc = 100,99.94 tr acc = 100,99.1 tr acc = 99.91,,,,
259,98.93 tr acc = 100,4.88 tr acc = 15.56,81.79 tr acc = 98.22,99.8 tr acc = 100,99.83 tr acc = 100,70.37 tr acc = 86.78,99.84 tr acc = 100,,,,
279,92.14 tr acc = 100,3.21 tr acc = 15.78,84.05 tr acc = 98.89,99.8 tr acc = 100,99.88 tr acc = 100,99.97 tr acc = 100,99.57 tr acc = 99.95,,,,
299,96.67 tr acc = 100,10.12 tr acc = 30,92.62 tr acc = 99.78,99.74 tr acc = 100,99.83 tr acc = 100,100 tr acc = 100,99.97 tr acc = 99.98,,,8.61 tr acc = 35.5,9.03 tr acc = 22.22
319,,9.76 tr acc = 33.22,40.83 tr acc = 84.33,,,,,,,,
339,,12.62 tr acc = 38.44,97.5 tr acc = 100,,,,,,,,
349,,,,,,,,,,,9.03 tr acc = 29.63
359,,15.12 tr acc = 39,97.74 tr acc = 99.78,,,,,,,,
379,,16.07 tr acc = 34.67,98.45 tr acc = 100,,,,,,,,
399,,15.12 tr acc = 33.56,99.05 tr acc = 100,,,,,,,,17.71 tr acc = 38.89
419,,5 tr acc = 24.78,99.17 tr acc = 100,,,,,,,,
439,,24.88 tr acc = 56.67,98.21 tr acc = 99.89,,,,,,,,
449,,,,,,,,,,,18.75 tr acc = 53.4
459,,48.93 tr acc = 76.22,99.29 tr acc = 100,,,,,,,,
479,,57.14 tr acc = 89,99.52 tr acc = 100,,,,,,,,
499,,65 tr acc = 90.89,99.17 tr acc = 100,,,,,,,,38.54 tr acc = 85.49
519,,68.1 tr acc = 91.67,100 tr acc = 100,,,,,,,,
539,,93.1 tr acc = 99.44,99.29 tr acc = 100,,,,,,,,
549,,,,,,,,,,,55.21 tr acc = 94.75
559,,92.74 tr acc = 100,99.76 tr acc = 100,,,,,,,,
579,,94.52 tr acc = 99,97.98 tr acc = 99.78,,,,,,,,
599,,94.05 tr acc = 99.33,99.4 tr acc = 100,,,,,,,,82.29 tr acc = 98.46
,,,,,,,,,,,
,,,,,,,,,,,
649,,,,,,,,,,,86.81 tr acc = 99.69
,,,,,,,,,,,
,,,,,,,,,,,
699,,,,,,,,,,,93.06 tr acc = 100
,,,,,,,,,,,
,,,,,,,,,,,
749,,,,,,,,,,,93.4 tr acc = 100
,,,,,,,,,,,
,,,,,,,,,,,
799,,,,,,,,,,,95.83 tr acc = 100
,,,,,,,,,,,
,,,,,,,,,,,
849,,,,,,,,,,,95.83 tr acc = 100
,,,,,,,,,,,
,,,,,,,,,,,
899,,,,,,,,,,,93.4 tr acc = 100
,,,,,,,,,,,
,,,,,,,,,,,
949,,,,,,,,,,,96.88 tr acc = 100
,,,,,,,,,,,
,,,,,,,,,,,
999,,,,,,,,,,,97.92 tr acc = 100
