Epoch,"0219_230713
num_objs=90","0215_131044
num_objs=30","0218_222834
num_objs=40","0215_194815
num_objs=50","0218_181327
num_objs=60","0219_235752
num_objs=70","0218_181153
num_objs=80"
19,56.74 tr acc = 84.84,1.15 tr acc = 5.63,1.47 tr acc = 9.47,2.2 tr acc = 12.92,3.58 tr acc = 17.86,8.95 tr acc = 48.22,49.88 tr acc = 91.27
39,95.95 tr acc = 99.94,1.03 tr acc = 19.38,3.29 tr acc = 29.17,15.99 tr acc = 72.68,63.7 tr acc = 96.25,73.55 tr acc = 99.85,89.51 tr acc = 99.37
59,97.11 tr acc = 99.99,2.56 tr acc = 36.35,17.97 tr acc = 74.32,42.31 tr acc = 88.57,89.46 tr acc = 99.97,76.41 tr acc = 98.36,95.08 tr acc = 100
79,99.05 tr acc = 100,4.62 tr acc = 59.9,36.64 tr acc = 92.43,68.23 tr acc = 100,91.71 tr acc = 99.97,89.95 tr acc = 100,96.66 tr acc = 100
99,98.96 tr acc = 100,9.36 tr acc = 65.73,53.5 tr acc = 97.87,77.59 tr acc = 99.96,93.51 tr acc = 99.9,94.49 tr acc = 100,98.04 tr acc = 100
119,98.8 tr acc = 99.98,12.56 tr acc = 75.62,55.66 tr acc = 96.69,67.53 tr acc = 94.63,94.53  tr acc = 100,90.62 tr acc = 99.30,96.81 tr acc = 100
139,99.47 tr acc = 100,29.23 tr acc = 97.81,66.36 tr acc = 100,83.39 tr acc = 100,96.14  tr acc = 100,95.45 tr acc = 99.92,97.28 tr acc = 100
159,99.43 tr acc = 100,40.51 tr acc = 99.38,10.56 tr acc = 35.98,82.03 tr acc = 100,96.74  tr acc = 100,94.51 tr acc = 100,98.18 tr acc = 100
179,99.76 tr acc = 100,45.64 tr acc = 99.69,76.36 tr acc = 99.59,82.86 tr acc = 99.96,95.95  tr acc = 100,96.11 tr acc = 100,93.51 tr acc = 98.41
199,99.33 tr acc = 100,48.97 tr acc = 100,80.98 tr acc = 99.94,85.76 tr acc = 100,96.17  tr acc = 100,96.16 tr acc = 99.92,97.26 tr acc = 100
219,,36.15 tr acc = 85.83,83.85 tr acc = 100,87.92 tr acc = 100,96.9  tr acc = 100,,
239,,58.97 tr acc = 99.69,74.06 tr acc = 100,87.08 tr acc = 100,97.03  tr acc = 100,,
259,,56.28 tr acc = 100,75.66 tr acc = 100,89.76 tr acc = 99.89,95.92  tr acc = 100,,
279,,60.26 tr acc = 100,76.22 tr acc = 100,92.09 tr acc = 100,97.34  tr acc = 100,,
299,,61.15 tr acc = 100,76.5 tr acc = 100,87.83 tr acc = 99.5,97.5  tr acc = 100,,
319,,60.77 tr acc = 100,74.48 tr acc = 97.81,,,,
339,,69.87 tr acc = 100,80.42 tr acc = 100,,,,
359,,62.95 tr acc = 100,80.98 tr acc = 100,,,,
379,,61.54 tr acc = 100,80.49 tr acc = 100,,,,
399,,56.54 tr acc = 100,80.28 tr acc = 100,,,,
419,,59.87 tr acc = 96.88,82.1 tr acc = 100,,,,
439,,59.36 tr acc = 99.38,82.31 tr acc = 100,,,,
459,,61.79 tr acc = 100,81.54 tr acc = 100,,,,
479,,61.54 tr acc = 100,83.22 tr acc = 100,,,,
499,,61.67 tr acc = 100,81.33 tr acc = 100,,,,
519,,62.44 tr acc = 100,82.66 tr acc = 100,,,,
539,,63.46 tr acc = 100,85.1 tr acc = 100,,,,
559,,64.62 tr acc = 100,84.9 tr acc = 100,,,,
579,,63.85 tr acc = 99.79,86.43 tr acc = 100,,,,
599,,65.38 tr acc = 100,86.71 tr acc = 100,,,,
