Epoch,"0207_214738
num_objs=90","0207_225317, 0208_074019, 0213_123500
num_objs=30","1210_123151
num_objs=30
[no image_pos_enc]","0206_075708, 0208_155144, 0213_235617
num_objs=40","0206_075542
num_objs=50","0207_225233, 0208_073837
num_objs=60","0205_180252
num_objs=70","0205_180720
num_objs=80"
19,59.44 tr acc = 92.76,1.72 tr acc = 7.70,0.57 tr acc = 2.99,1.54 tr acc = 9.87,1.59 tr acc = 18.24,2.06 tr acc = 15.68,10.93 tr acc = 56.21,42.23 tr acc = 88.37
39,83.03 tr acc = 99.88,1.38 tr acc = 16.44,2.18 tr acc = 27.59,1.92 tr acc = 57.24,12.2 tr acc = 83.39,44.01 tr acc = 94.29,63.73 tr acc = 99.65,82.56 tr acc = 99.92
59,89.33 tr acc = 100,1.26 tr acc = 41.95,1.95 tr acc = 8.16,0.67 tr acc = 86.35,29.8 tr acc = 91.27,51.05 tr acc = 96.33,60.52 tr acc = 96.07,81.55 tr acc = 98.92
79,92.13 tr acc = 100,1.26 tr acc = 56.09,5.4 tr acc = 74.37,11.47 tr acc = 83.01,43.96 tr acc = 93.63,71.55 tr acc = 99.92,76.52 tr acc = 98.28,91.44 tr acc = 100
99,90.67 tr acc = 99.99,1.72 tr acc = 80.11,8.39 tr acc = 77.13,28.46 tr acc = 100,57.55 tr acc = 100,76.86 tr acc = 100,77.93 tr acc = 99.77,91.04 tr acc = 100
119,92.52 tr acc = 100,4.83 tr acc = 92.07,13.33 tr acc = 91.26,29.68 tr acc = 99.55,63.76 tr acc = 100,80.48 tr acc = 100,82.46 tr acc = 100,90.25 tr acc = 99.98
139,94.11 tr acc = 100,7.82 tr acc = 93.56,15.75 tr acc = 88.39,34.1 tr acc = 100,64.2 tr acc = 100,82.15 tr acc = 100,81.78 tr acc = 99.98,84.91 tr acc = 99.79
159,94 tr acc = 100,12.3 tr acc = 88.74,14.6 tr acc = 86.67,36.54 tr acc = 100,64.53 tr acc = 100,77.74 tr acc = 99.97,82.75 tr acc = 100,91.23 tr acc = 100
179,93.5 tr acc = 99.99,20.34 tr acc = 99.77,26.9 tr acc = 99.2,35.13 tr acc = 100,66.53 tr acc = 100,82.12 tr acc = 100,85.26 tr acc = 100,92.53 tr acc = 100
199,95.71 tr acc = 100,23.33 tr acc = 100,20.69 tr acc = 87.82,7.63 tr acc = 40.51,67.84 tr acc = 100,85.34 tr acc = 100,85.09 tr acc = 100,90.9 tr acc = 99.98
219,,19.66 tr acc = 93.79,25.52 tr acc = 97.59,36.35 tr acc = 98.46,67.63 tr acc = 100,82.6 tr acc = 100,,
239,,27.82 tr acc = 98.97,37.13 tr acc = 99.89,43.14 tr acc = 100,68.24 tr acc = 100,84.52 tr acc = 100,,
259,,31.26 tr acc = 99.89,37.13 tr acc = 100,44.17 tr acc = 100,69.63 tr acc = 100,84.86 tr acc = 100,,
279,,30.92 tr acc = 100,36.32 tr acc = 99.54,42.69 tr acc = 99.17,72.37 tr acc = 100,85.2 tr acc = 100,,
299,,32.41 tr acc = 100,34.25 tr acc = 98.05,45.71 tr acc = 99.94,48.01 tr acc = 100,83.59 tr acc = 99.97,,
319,,25.29 tr acc = 99.31,,32.56 tr acc = 84 49,,,,
339,,32.18 tr acc = 100,,54.36 tr acc = 100,,,,
359,,34.71 tr acc = 100,,53.21 tr acc = 100,,,,
379,,34.25 tr acc = 100,,51.54 tr acc = 100,,,,
399,,29.89 tr acc = 100,,52.18 tr acc = 100,,,,
419,,34.25 tr acc = 100,,54.04 tr acc = 99.87,,,,
439,,36.21 tr acc = 100,,54.04 tr acc = 100,,,,
459,,35.29 tr acc = 100,,52.37 tr acc = 100,,,,
479,,35.98 tr acc = 100,,53.78 tr acc = 100,,,,
499,,34.6 tr acc = 100,,53.14 tr acc = 100,,,,
519,,25.98 tr acc = 100,,52.5 tr acc = 100,,,,
539,,38.85 tr acc = 100,,51.54 tr acc = 100,,,,
559,,38.74 tr acc = 100,,54.23 tr acc = 100,,,,
579,,38.97 tr acc = 100,,53.46 tr acc = 100,,,,
599,,38.39 tr acc = 100,,52.18 tr acc = 100,,,,
