Epoch,"0222_200003
num_objs=90","0216_224836
num_objs=30","0312_025001
num_objs=30
[no image_pos_enc]","0219_134855
num_objs=40","0220_185421
num_objs=50","0221_224806
num_objs=60","0223_145301
num_objs=70","0223_145355
num_objs=80"
19,7.09 tr acc = 8.76,2.28 tr acc = 4.67,0.7 tr acc = 1.5,2.18 tr acc = 4.58,2 tr acc = 3.12,2.61 tr acc = 3.96,2.48 tr acc = 3.9,3.75 tr acc = 5.36
39,98.11 tr acc = 99.04,2.37 tr acc = 7.5,2.19 tr acc = 4.67,2.18 tr acc = 6.67,3.45 tr acc = 6.31,7.24 tr acc = 12.33,11.85 tr acc = 16.17,91.23 tr acc = 92.62
59,99.86 tr acc = 100,2.54 tr acc = 5,2.98 tr acc = 7.17,3.19 tr acc = 11.46,5.12 tr acc = 10,78.1 tr acc = 84.21,97.17 tr acc = 98.77,99.68 tr acc = 99.95
79,99.92 tr acc = 100,5.35 tr acc = 14.67,4.3 tr acc = 7.17,3.33 tr acc = 8.13,13.64 tr acc = 22.25,98.7 tr acc = 99.54,99.22 tr acc = 99.81,99.58 tr acc = 99.86
99,99.91 tr acc = 100,3.25 tr acc = 10.67,3.42 tr acc = 5.33,4.12 tr acc = 8.44,80.97 tr acc = 87.5,99.08 tr acc = 99.71,94.91 tr acc = 96.1,99.89 tr acc = 100
119,99.92 tr acc = 100,3.68 tr acc = 10.5,3.86 tr acc = 6.83,7.78 tr acc = 16.56,96.61 tr acc = 98.81,99.76 tr acc = 99.96,99.67  tr acc = 100,99.94 tr acc = 100
139,99.98 tr acc = 99.98,9.04 tr acc = 16.67,8.33 tr acc = 13,16.67 tr acc = 27.08,98.79 tr acc = 99.62,99.66 tr acc = 100,99.86 tr acc = 100,99.54 tr acc = 99.76
159,99.97 tr acc = 100,11.32 tr acc = 18.5,10.18 tr acc = 15.33,48.7 tr acc = 66.15,99.03 tr acc = 99.44,99.64 tr acc = 99.96,99.94 tr acc = 100,99.82 tr acc = 99.95
179,99.93 tr acc = 99.98,8.6 tr acc = 17.17,8.6 tr acc = 13.5,89.35 tr acc = 95.42,99.45 tr acc = 99.81,99.91 tr acc = 100,99.88 tr acc = 100,99.95 tr acc = 100
199,99.97 tr acc = 100,27.02 tr acc = 35.5,7.28 tr acc = 14.83,97.69 tr acc = 98.96,99.55 tr acc = 100,99.91 tr acc = 100,99.71 tr acc = 100,99.99 tr acc = 100
219,,37.37 tr acc = 55,9.47 tr acc = 15.33,91.11 tr acc = 95.94,99.73 tr acc = 100,,,
239,,79.74 tr acc = 86.67,12.98 tr acc = 18.33,99.07 tr acc = 99.79,99.85 tr acc = 100,,,
259,,80 tr acc = 88.17,6.84 tr acc = 15.67,98.8 tr acc = 99.9,96.61 tr acc = 98.25,,,
279,,95.18 tr acc = 98.17,13.77 tr acc = 23,99.81  tr acc = 100,98.85 tr acc = 99.56,,,
299,,95.61 tr acc = 98.33,9.12 tr acc = 14.5,99.81  tr acc = 100,99.91 tr acc = 100,,,
319,,97.81 tr acc = 100,12.98 tr acc = 19.33,99.91  tr acc = 100,,,,
339,,98.42 tr acc = 100,9.12 tr acc = 17.83,99.35 tr acc = 99.79,,,,
359,,99.12 tr acc = 100,15.53 tr acc = 21,99.63  tr acc = 100,,,,
379,,98.95 tr acc = 100,22.63 tr acc = 29.83,99.68  tr acc = 100,,,,
399,,99.04 tr acc = 100,22.89 tr acc = 30.67,99.77  tr acc = 100,,,,
419,,98.77 tr acc = 99.83,17.11 tr acc = 23,,,,,
439,,98.86 tr acc = 100,16.75 tr acc = 26.83,,,,,
459,,99.3 tr acc = 100,15.09 tr acc = 23.33,,,,,
479,,99.3 tr acc = 100,23.77 tr acc = 31.17,,,,,
499,,99.39 tr acc = 100,12.02 tr acc = 21.83,,,,,
519,,99.39 tr acc = 100,18.95 tr acc = 26.67,,,,,
539,,99.47 tr acc = 100,22.98 tr acc = 30.67,,,,,
559,,99.65 tr acc = 100,23.6 tr acc = 33,,,,,
579,,99.56 tr acc = 100,25.44 tr acc = 31.33,,,,,
599,,99.47 tr acc = 100,23.42 tr acc = 31.17,,,,,
