Epoch,"0222_234609 (u)
num_objs=90","0312_114022(u)
num_objs=90
[no image_pos_enc]","0222_103800
num_objs=30","0311_220438
num_objs=30
[no image_pos_enc]","0313_040630
num_objs=30
[clip]","0222_001355
num_objs=40","0222_200712
num_objs=50","0223_114536
num_objs=60","0222_212321
num_objs=70","0223_083624
num_objs=80"
19,1.95 tr acc = 3.24,2.13 tr acc = 3.33,1.09 tr acc = 3.61,0.36 tr acc = 1.67,0.7 tr acc = 0,2.1 tr acc = 3.12,1.28 tr acc = 3.2,1.67 tr acc = 2.36,2.01 tr acc = 3.83,1.4 tr acc = 2.34
39,21.33 tr acc = 27.72,6.7 tr acc = 10.22,1.59 tr acc = 6.94,0.8 tr acc = 2.22,0.7 tr acc = 0,2.18 tr acc = 8.13,3.08 tr acc = 6.5,2.38 tr acc = 6.53,2.99 tr acc = 5.61,4.25 tr acc = 6.52
59,96.43 tr acc = 98.4,6.93 tr acc = 10.96,2.32 tr acc = 4.72,1.16 tr acc = 3.06,0.7 tr acc = 0.28,2.9 tr acc = 6.56,3.67 tr acc = 9,5.02 tr acc = 10,6.21 tr acc = 10.15,66.87 tr acc = 75.27
79,99.21 tr acc = 99.91,12.21 tr acc = 16.67,3.41 tr acc = 12.22,1.01 tr acc = 1.94,0.7 tr acc = 0,2.38 tr acc = 9.53,4.54 tr acc = 10.2,6.65 tr acc = 13.82,73.32 tr acc = 83.88,96.72 tr acc = 98.59
99,99.76 tr acc = 99.94,16.66 tr acc = 21.54,3.33 tr acc = 8.06,3.04 tr acc = 7.22,0.29 tr acc = 0.56,4.03 tr acc = 11.09,6.26 tr acc = 13.5,53.72 tr acc = 66.25,96.22 tr acc = 99.54,97.69 tr acc = 99.38
119,99.73 tr acc = 100,17.78 tr acc = 22.44,2.83 tr acc = 6.39,2.17 tr acc = 4.17,0.14 tr acc = 0.83,3.23 tr acc = 10.62,7.62 tr acc = 15.4,93.51 tr acc = 96.74,97.96 tr acc = 99.8,99.69 tr acc = 100
139,99.84 tr acc = 100,32.75 tr acc = 38.36,5.29 tr acc = 16.11,3.84 tr acc = 8.89,0.29 tr acc = 0.56,4.96 tr acc = 12.5,19.41 tr acc = 33.9,98.14 tr acc = 99.65,98.69 tr acc = 99.59,99.85 tr acc = 100
159,95.23 tr acc = 96.27,90.88 tr acc = 93.18,4.35 tr acc = 14.17,3.7 tr acc = 15.56,0.36 tr acc = 0.67,1.85 tr acc = 6.72,57.36 tr acc = 74.3,98.83 tr acc = 99.93,99.32 tr acc = 100,99.76 tr acc = 100
179,99.83 tr acc = 100,96.93 tr acc = 98.58,4.42 tr acc = 8.89,3.04 tr acc = 9.44,0.43 tr acc = 0.28,6.37 tr acc = 16.09,89.36 tr acc = 97.8,99.33 tr acc = 100,98.92 tr acc = 99.85,99.88 tr acc = 100
199,99.8 tr acc = 100,93.51 tr acc = 95.93,4.49 tr acc = 15.56,4.49 tr acc = 10.28,0.72 tr acc = 1.39,8.23 tr acc = 18.28,94.18 tr acc = 98.2,90.28 tr acc = 92.78,99.58 tr acc = 100,99.86 tr acc = 100
219,,,6.45 tr acc = 16.39,5.36 tr acc = 15.28,0.51 tr acc = 2.22,12.14 tr acc = 24.37,97.74 tr acc = 99.9,,,
239,,,6.09 tr acc = 20.83,4.86 tr acc = 11.67,0.65 tr acc = 3.06,28.95 tr acc = 45.78,98.36 tr acc = 99.9,,,
259,,,6.45 tr acc = 15.56,6.67 tr acc = 17.22,1.38 tr acc = 4.72,48.15 tr acc = 68.59,54.08 tr acc = 63.4,,,
279,,,7.25 tr acc = 16.94,4.57 tr acc = 16.11,1.3 tr acc = 5.56,87.22 tr acc = 95.63,99.1 tr acc = 100,,,
299,,,9.71 tr acc = 24.17,4.71 tr acc = 12.78,2.32 tr acc = 7.78,92.46 tr acc = 99.22,99.51 tr acc = 100,,,
319,,,11.38 tr acc = 30,5.87 tr acc = 18.61,2.9 tr acc = 18.33,93.55 tr acc = 98.75,,,,
339,,,16.09 tr acc = 33.33,6.3 tr acc = 12.78,2.61 tr acc = 11.67,96.98 tr acc = 99.53,,,,
359,,,14.57 tr acc = 38.33,7.9 tr acc = 17.22,4.93 tr acc = 11.11,97.58 tr acc = 99.69,,,,
379,,,28.48 tr acc = 57.22,6.01 tr acc = 15,5.94 tr acc = 13.33,87.14 tr acc = 91.72,,,,
399,,,34.78 tr acc = 57.22,9.13 tr acc = 21.39,5.94 tr acc = 16.11,98.15 tr acc = 100,,,,
419,,,39.42 tr acc = 60,6.88 tr acc = 10.83,5.36 tr acc = 12.78,98.83 tr acc = 100,,,,
439,,,59.28 tr acc = 71.94,8.77 tr acc = 21.39,9.86 tr acc = 20.28,99.07 tr acc = 100,,,,
459,,,81.88 tr acc = 93.61,12.9 tr acc = 20,12.1 tr acc = 25.56,98.83 tr acc = 100,,,,
479,,,73.19 tr acc = 89.17,10.14 tr acc = 26.67,24.86 tr acc = 45.28,99.19 tr acc = 100,,,,
499,,,87.03 tr acc = 92.78,13.91 tr acc = 29.72,46.74 tr acc = 68.06,98.91 tr acc = 100,,,,
519,,,93.84 tr acc = 98.89,10.14 tr acc = 24.72,55.58 tr acc = 79.17,99.15 tr acc = 100,,,,
539,,,95.43 tr acc = 100,8.55 tr acc = 20.28,75.72 tr acc = 91.39,98.99 tr acc = 100,,,,
559,,,96.45 tr acc = 100,11.38 tr acc = 28.06,76.67 tr acc = 93.61,98.67 tr acc = 100,,,,
579,,,95.51 tr acc = 99.72,6.96 tr acc = 22.5,81.74 tr acc = 97.5,99.07 tr acc = 100,,,,
599,,,96.88 tr acc = 100,10.72 tr acc = 19.44,85.8 tr acc = 98.33,98.79 tr acc = 100,,,,
