Epoch,"1214_230316
num_objs=90",1215_221832 num_objs=30,"0204_223110
num_objs=40","0204_223541
num_objs=50",1214_230146 num_objs=60,"0204_223204
num_objs=70","0204_223140
num_objs=80"
19,88.42 tr acc = 92.47,2.74 tr acc = 3.33,2.83 tr acc = 2.83,3.25 tr acc = 2.96,4.91 tr acc = 5.6,6.55 tr acc = 7.52,23.61 tr acc = 27.29
39,99.53 tr acc = 100,3.1 tr acc = 3.69,5.46 tr acc = 7.57,5.67 tr acc = 5.12,81.64 tr acc = 88.25,88.38 tr acc = 92.31,99.49 tr acc = 99.84
59,95.71 tr acc = 97.5,4.76 tr acc = 5.71,10.86 tr acc = 11.25,64.62 tr acc = 73.38,47.3 tr acc = 52.33,99.2 tr acc = 100,99.26 tr acc = 100
79,99.55 tr acc = 99.99,11.07 tr acc = 10.71,28.68 tr acc = 36.97,95.21 tr acc = 98.33,97.39 tr acc = 98.76,98.91 tr acc = 99.85,99.31 tr acc = 100
99,98.47 tr acc = 98.47,17.38 tr acc = 18.21,78.36 tr acc = 87.04,99.25 tr acc = 99.75,99.74 tr acc = 99.86,99.73 tr acc = 100,99.66 tr acc = 99.87
119,99.82 tr acc = 100,27.5 tr acc = 37.62,91.91 tr acc = 96.18,99.25 tr acc = 99.88,99.86 tr acc = 100,99.6 tr acc = 100,99.62 tr acc = 100
139,99.58 tr acc = 99.79,39.52 tr acc = 54.29,97.89 tr acc = 99.74,96.71 tr acc = 99.29,99.83 tr acc = 100,99.73 tr acc = 100,99.54 tr acc = 100
159,99.85 tr acc = 100,77.86 tr acc = 91.67,99.14 tr acc = 99.93,99.71 tr acc = 100,99.83 tr acc = 100,84.87 tr acc = 88.49,99.86 tr acc = 100
179,99.85 tr acc = 99.97,95.24 tr acc = 98.93,99.34 tr acc = 100,99.67 tr acc = 99.96,91.32 tr acc = 94.6,99.71 tr acc = 100,99.82 tr acc = 100
199,99.85 tr acc = 100,95.12 tr acc = 99.23,99.41 tr acc = 100,99.71 tr acc = 100,99.83 tr acc = 100,98.95 tr acc = 99.64,99.78 tr acc = 100
219,99.79 tr acc = 100,94.40 tr acc = 99.17,98.62 tr acc = 100,99.75 tr acc = 100,99.83 tr acc = 100,99.83 tr acc = 100,99.86 tr acc = 100
239,99.87 tr acc = 100,98.21 tr acc = 100,99.01 tr acc = 100,99.75 tr acc = 100,99.45 tr acc = 99.86,99.89 tr acc = 100,99.74 tr acc = 100
259,99.84 tr acc = 100,97.98 tr acc = 100,78.62 tr acc = 86.38,99.21 tr acc = 99.88,99.87 tr acc = 100,99.87 tr acc = 100,99.31 tr acc = 99.79
279,99.65 tr acc = 100,99.17 tr acc = 100,95.99 tr acc = 98.82,99.75 tr acc = 100,99.74 tr acc = 100,98.74 tr acc = 99.52,99.9 tr acc = 100
299,99.84 tr acc = 100,99.52 tr acc = 100,99.08 tr acc = 100,99.83 tr acc = 100,99.68 tr acc = 100,99.79 tr acc = 100,100 tr acc = 100
