Epoch,"0301_170348
num_objs=18","1214_230933
num_objs=90",1215_221449 num_objs=30,"0206_204611
num_objs=40","0206_135957
num_objs=50",1215_220834 num_objs=60,"0206_135919
num_objs=70","0206_135808
num_objs=80"
19,,86.8 tr acc = 90.89,3.1 tr acc = 4.37,3.21 tr acc = 4.81,3.84 tr acc = 5.06,3.45 tr acc = 4.15,4.35 tr acc = 4.72,10.57 tr acc = 12.36
39,,96.12 tr acc = 97.23,5.29 tr acc = 4.94,7.12 tr acc = 8.08,5.39 tr acc = 6.33,27.72 tr acc = 32.43,85.65 tr acc = 90.12,99.43 tr acc = 99.91
59,,99.33 tr acc = 99.86,5.52 tr acc = 7.59,11.79 tr acc = 12.31,76.29 tr acc = 83.96,98.76 tr acc= 99.92,98.14 tr acc = 99.40,99.65 tr acc = 100
79,,99.88 tr acc = 99.99,6.78 tr acc = 7.82,25.9 tr acc = 35.06,90.45 tr acc = 94.65,93.64 tr acc = 94.38,99.38 tr acc = 99.98,99.62 tr acc = 99.79
99,8.82 tr acc = 8.5,99.71 tr acc = 100,11.38 tr acc = 13.91,85.96 tr acc = 95.32,99.27 tr acc = 100,99.75 tr acc = 100,99.5 tr acc = 99.92,99.76 tr acc = 100
119,,99.89 tr acc = 99.95,17.01 tr acc = 20.92,96.86 tr acc = 99.62,99.47 tr acc = 99.84,99.92 tr acc = 100,99.54 tr acc = 100,99 tr acc = 99.83
139,,99.95 tr acc = 100,30.69 tr acc = 40,65.26 tr acc = 73.14,99.8 tr acc = 100,99.75 tr acc = 100,99.73 tr acc = 100,99.91 tr acc = 100
159,,99.9 tr acc = 100,51.38 tr acc = 61.72,99.23 tr acc = 99.81,99.88 tr acc = 100,99.83 tr acc = 100,99.75 tr acc = 99.91,98.5 tr acc = 98.5
179,,99.73 tr acc = 100,93.22 tr acc = 96.67,98.91 tr acc = 100,99.76 tr acc = 100,99.83 tr acc = 100,99.77 tr acc = 100,99.97 tr acc = 100
199,15.36 tr acc = 16.99,99.88 tr acc = 100,97.13 tr acc = 99.89,95 tr acc = 97.44,99.51 tr acc = 100,99.92 tr acc = 100,99.4 tr acc = 100,98.34 tr acc = 98.69
219,,99.74 tr acc = 100,98.16 tr acc = 100,98.33 tr acc = 99.62,99.59 tr acc = 100,99.8 tr acc = 100,99.11 tr acc = 99.98,99.73 tr acc = 100
239,,99.98 tr acc = 100,98.28 tr acc = 100,99.04 tr acc = 99.94,99.55 tr acc = 100,99.58 tr acc = 99.97,99.69 tr acc = 100,99.92 tr acc = 100
259,,99.96 tr acc = 100,98.39 tr acc = 100,99.36 tr acc = 100,99.84 tr acc = 100,99.97 tr acc = 100,99.59 tr acc = 100,99.95 tr acc = 100
279,,99.94 tr acc = 99.95,97.93 tr acc = 99.89,99.68 tr acc = 100,99.71 tr acc = 100,99.49 tr acc = 100,99.67 tr acc = 100,99.87 tr acc = 100
299,15.03 tr acc = 20.59,100 tr acc = 99.98,95.52 tr acc = 99.77,99.94 tr acc = 100,99.8 tr acc = 100,99.75 tr acc = 100,99.36 tr acc = 100,99.91 tr acc = 100
,,,,,,,,
,,,,,,,,
349,17.65 tr acc = 20.26,,,,,,,
,,,,,,,,
,,,,,,,,
399,38.24 tr acc = 41.5,,,,,,,
,,,,,,,,
,,,,,,,,
449,84.64 tr acc = 92.81,,,,,,,
,,,,,,,,
,,,,,,,,
499,87.58 tr acc = 94.77,,,,,,,
,,,,,,,,
,,,,,,,,
549,94.77 tr acc = 99.67,,,,,,,
,,,,,,,,
,,,,,,,,
599,95.75 tr acc = 100,,,,,,,
,,,,,,,,
,,,,,,,,
649,97.06 tr acc = 100,,,,,,,
,,,,,,,,
,,,,,,,,
699,97.71 tr acc = 100,,,,,,,
,,,,,,,,
,,,,,,,,
749,97.71 tr acc = 100,,,,,,,
,,,,,,,,
,,,,,,,,
799,93.79 tr acc = 99.02,,,,,,,
,,,,,,,,
,,,,,,,,
849,98.37 tr acc = 100,,,,,,,
,,,,,,,,
,,,,,,,,
899,98.04 tr acc = 100,,,,,,,
,,,,,,,,
,,,,,,,,
949,98.37 tr acc = 100,,,,,,,
,,,,,,,,
,,,,,,,,
999,97.06 tr acc = 100,,,,,,,
