+----------------------------------------------------------------------------+----------+--------------------+
|                                  Modules                                   | #Params  |    Param shape     |
+----------------------------------------------------------------------------+----------+--------------------+
|                            unet.conv_in.weight                             |   1728   |   [64, 3, 3, 3]    |
|                             unet.conv_in.bias                              |    64    |        [64]        |
|                    unet.time_embedding.linear_1.weight                     |  16384   |     [256, 64]      |
|                     unet.time_embedding.linear_1.bias                      |   256    |       [256]        |
|                    unet.time_embedding.linear_2.weight                     |  65536   |     [256, 256]     |
|                     unet.time_embedding.linear_2.bias                      |   256    |       [256]        |
|                        unet.encoder_hid_proj.weight                        |  65536   |     [128, 512]     |
|                         unet.encoder_hid_proj.bias                         |   128    |       [128]        |
|                 unet.down_blocks.0.resnets.0.norm1.weight                  |    64    |        [64]        |
|                  unet.down_blocks.0.resnets.0.norm1.bias                   |    64    |        [64]        |
|                 unet.down_blocks.0.resnets.0.conv1.weight                  |  36864   |   [64, 64, 3, 3]   |
|                  unet.down_blocks.0.resnets.0.conv1.bias                   |    64    |        [64]        |
|             unet.down_blocks.0.resnets.0.time_emb_proj.weight              |  16384   |     [64, 256]      |
|              unet.down_blocks.0.resnets.0.time_emb_proj.bias               |    64    |        [64]        |
|                 unet.down_blocks.0.resnets.0.norm2.weight                  |    64    |        [64]        |
|                  unet.down_blocks.0.resnets.0.norm2.bias                   |    64    |        [64]        |
|                 unet.down_blocks.0.resnets.0.conv2.weight                  |  36864   |   [64, 64, 3, 3]   |
|                  unet.down_blocks.0.resnets.0.conv2.bias                   |    64    |        [64]        |
|                 unet.down_blocks.0.resnets.1.norm1.weight                  |    64    |        [64]        |
|                  unet.down_blocks.0.resnets.1.norm1.bias                   |    64    |        [64]        |
|                 unet.down_blocks.0.resnets.1.conv1.weight                  |  36864   |   [64, 64, 3, 3]   |
|                  unet.down_blocks.0.resnets.1.conv1.bias                   |    64    |        [64]        |
|             unet.down_blocks.0.resnets.1.time_emb_proj.weight              |  16384   |     [64, 256]      |
|              unet.down_blocks.0.resnets.1.time_emb_proj.bias               |    64    |        [64]        |
|                 unet.down_blocks.0.resnets.1.norm2.weight                  |    64    |        [64]        |
|                  unet.down_blocks.0.resnets.1.norm2.bias                   |    64    |        [64]        |
|                 unet.down_blocks.0.resnets.1.conv2.weight                  |  36864   |   [64, 64, 3, 3]   |
|                  unet.down_blocks.0.resnets.1.conv2.bias                   |    64    |        [64]        |
|               unet.down_blocks.0.downsamplers.0.conv.weight                |  36864   |   [64, 64, 3, 3]   |
|                unet.down_blocks.0.downsamplers.0.conv.bias                 |    64    |        [64]        |
|                unet.down_blocks.1.attentions.0.norm.weight                 |   256    |       [256]        |
|                 unet.down_blocks.1.attentions.0.norm.bias                  |   256    |       [256]        |
|               unet.down_blocks.1.attentions.0.proj_in.weight               |  65536   |  [256, 256, 1, 1]  |
|                unet.down_blocks.1.attentions.0.proj_in.bias                |   256    |       [256]        |
|     unet.down_blocks.1.attentions.0.transformer_blocks.0.norm1.weight      |   256    |       [256]        |
|      unet.down_blocks.1.attentions.0.transformer_blocks.0.norm1.bias       |   256    |       [256]        |
|   unet.down_blocks.1.attentions.0.transformer_blocks.0.attn1.to_q.weight   |  65536   |     [256, 256]     |
|   unet.down_blocks.1.attentions.0.transformer_blocks.0.attn1.to_k.weight   |  65536   |     [256, 256]     |
|   unet.down_blocks.1.attentions.0.transformer_blocks.0.attn1.to_v.weight   |  65536   |     [256, 256]     |
| unet.down_blocks.1.attentions.0.transformer_blocks.0.attn1.to_out.0.weight |  65536   |     [256, 256]     |
|  unet.down_blocks.1.attentions.0.transformer_blocks.0.attn1.to_out.0.bias  |   256    |       [256]        |
|     unet.down_blocks.1.attentions.0.transformer_blocks.0.norm2.weight      |   256    |       [256]        |
|      unet.down_blocks.1.attentions.0.transformer_blocks.0.norm2.bias       |   256    |       [256]        |
|   unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_q.weight   |  65536   |     [256, 256]     |
|   unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_k.weight   |  32768   |     [256, 128]     |
|   unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v.weight   |  32768   |     [256, 128]     |
| unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_out.0.weight |  65536   |     [256, 256]     |
|  unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_out.0.bias  |   256    |       [256]        |
|     unet.down_blocks.1.attentions.0.transformer_blocks.0.norm3.weight      |   256    |       [256]        |
|      unet.down_blocks.1.attentions.0.transformer_blocks.0.norm3.bias       |   256    |       [256]        |
| unet.down_blocks.1.attentions.0.transformer_blocks.0.ff.net.0.proj.weight  |  524288  |    [2048, 256]     |
|  unet.down_blocks.1.attentions.0.transformer_blocks.0.ff.net.0.proj.bias   |   2048   |       [2048]       |
|    unet.down_blocks.1.attentions.0.transformer_blocks.0.ff.net.2.weight    |  262144  |    [256, 1024]     |
