a pen is on top of a phone.
a pen is on top of a tote.
a pen is on top of a hoodie.
a pen is on top of a wall.
a soda is at the bottom of a helicopter.
a backpack is at the bottom of a helicopter.
a vase is at the bottom of a helicopter.
a piano is at the bottom of a helicopter.
a bench is at the bottom of a helicopter.
a rock is at the bottom of a helicopter.
a pie is at the bottom of a helicopter.
a sheep is at the bottom of a helicopter.
a bowl is at the bottom of a helicopter.
a saucer is at the bottom of a helicopter.
a dumpling is at the bottom of a helicopter.
a screen is at the bottom of a helicopter.
a sweater is at the bottom of a helicopter.
a cupcake is at the bottom of a helicopter.
a ruler is at the bottom of a helicopter.
a ship is at the bottom of a helicopter.
