a sweater is on top of a horse.
a horse is at the bottom of a sweater.
a soda is at the bottom of a cupcake.
a backpack is at the bottom of a cupcake.
a vase is at the bottom of a cupcake.
a piano is at the bottom of a cupcake.
a bench is at the bottom of a cupcake.
a rock is at the bottom of a cupcake.
a pie is at the bottom of a cupcake.
a sheep is at the bottom of a cupcake.
a bowl is at the bottom of a cupcake.
a saucer is at the bottom of a cupcake.
a dumpling is at the bottom of a cupcake.
a screen is at the bottom of a cupcake.
a sweater is at the bottom of a cupcake.
a ruler is at the bottom of a cupcake.
a ship is at the bottom of a cupcake.
a kite is at the bottom of a cupcake.
a woman is at the bottom of a cupcake.
a calculator is at the bottom of a cupcake.
