a rock is on top of a burger.
a burger is at the bottom of a rock.
a wallet is at the bottom of a rock.
a binder is at the bottom of a rock.
an eggplant is at the bottom of a rock.
a blender is at the bottom of a rock.
a can is at the bottom of a rock.
an apron is at the bottom of a rock.
a pencil is at the bottom of a rock.
a cup is at the bottom of a rock.
a rabbit is at the bottom of a rock.
a toy is at the bottom of a rock.
a person is at the bottom of a rock.
a blouse is at the bottom of a rock.
an eraser is at the bottom of a rock.
a folder is at the bottom of a rock.
a cake is at the bottom of a rock.
a belt is at the bottom of a rock.
a sandwich is at the bottom of a rock.
a swan is at the bottom of a rock.
