a ruler is on top of a binder.
a binder is at the bottom of a ruler.
an eggplant is at the bottom of a ruler.
a blender is at the bottom of a ruler.
a can is at the bottom of a ruler.
an apron is at the bottom of a ruler.
a pencil is at the bottom of a ruler.
a cup is at the bottom of a ruler.
a rabbit is at the bottom of a ruler.
a toy is at the bottom of a ruler.
a person is at the bottom of a ruler.
a blouse is at the bottom of a ruler.
an eraser is at the bottom of a ruler.
a folder is at the bottom of a ruler.
a cake is at the bottom of a ruler.
a belt is at the bottom of a ruler.
a sandwich is at the bottom of a ruler.
a swan is at the bottom of a ruler.
a stool is at the bottom of a ruler.
a horse is at the bottom of a ruler.
