a pie is on top of a saucer.
a pie is on top of a dumpling.
a pie is on top of a screen.
a pie is on top of a sweater.
a pie is on top of a cupcake.
a pie is on top of a ruler.
a pie is on top of a ship.
a pie is on top of a kite.
a pie is on top of a woman.
a calculator is at the bottom of a pie.
a clock is at the bottom of a pie.
a jacket is at the bottom of a pie.
a carrot is at the bottom of a pie.
a keyboard is at the bottom of a pie.
a soap is at the bottom of a pie.
a camera is at the bottom of a pie.
a jar is at the bottom of a pie.
a laddar is at the bottom of a pie.
a dryer is at the bottom of a pie.
a blanket is at the bottom of a pie.
