a screen is on top of a backpack.
a screen is on top of a vase.
a screen is on top of a piano.
a screen is on top of a bench.
a screen is on top of a rock.
a screen is on top of a pie.
a screen is on top of a sheep.
a screen is on top of a bowl.
a screen is on top of a saucer.
a screen is on top of a dumpling.
a sweater is at the bottom of a screen.
a cupcake is at the bottom of a screen.
a ruler is at the bottom of a screen.
a ship is at the bottom of a screen.
a kite is at the bottom of a screen.
a woman is at the bottom of a screen.
a calculator is at the bottom of a screen.
a clock is at the bottom of a screen.
a jacket is at the bottom of a screen.
a carrot is at the bottom of a screen.
