a clock is on top of a saucer.
a clock is on top of a dumpling.
a clock is on top of a screen.
a clock is on top of a sweater.
a clock is on top of a cupcake.
a clock is on top of a ruler.
a clock is on top of a ship.
a clock is on top of a kite.
a clock is on top of a woman.
a clock is on top of a calculator.
a jacket is at the bottom of a clock.
a carrot is at the bottom of a clock.
a keyboard is at the bottom of a clock.
a soap is at the bottom of a clock.
a camera is at the bottom of a clock.
a jar is at the bottom of a clock.
a laddar is at the bottom of a clock.
a dryer is at the bottom of a clock.
a blanket is at the bottom of a clock.
a burger is at the bottom of a clock.
